,"Position
RMSE","Orientation
RMSE","Joint
acceleration","Elbow
acceleration","Elbow lateral
range","Tail EEF
motion","Driver-cap
occupancy"
PR w/o position bound,-0.3759931733365482,0.8086688487348178,6.6985895349861675,7.258580127689955,1.867287504609316,2.4219362452056963,7.407964952845729
PR w/o orientation bound,125.20744423886883,-39.82188027419925,10.70202455668665,24.92070037507147,12.353747127350129,181.36882162062545,212.0425180476696
PR w/o posture regulation,-0.7295317885872333,-7.161749003955823,13.442299209151395,19.777320948743768,19.3781273261432,8.057611819536756,107.67504501308383
PR w/o singularity limit,-0.6273315388687908,0.18734727076081528,12.09830419432205,7.597319828470478,1.0411658458249635,5.220620222889636,30.63991025874144
PR w/o braking,-0.3879611519290461,-1.7068027836919142,1.3967500589300788,5.596100066934089,3.9088882111154524,-0.6148288624567587,4.768444724164741
PR w/o kinetic regularizer,-0.21275274558427631,-0.9413967212235237,2.2842671547643407,3.5793055266403213,4.206211759940162,-0.3330691463149603,5.024222822542687
PR w/o IK velocity limits,1.0150575595707796,-1.3700372071603,8.437526609202765,13.990864477045376,4.756701695454892,5.192693599706069,43.04867673803816
