profile,actual_min_joint_margin_rad,actual_j6_dq_max_rad_s,actual_ddq_p99_rad_s2,actual_orientation_rmse_rad,braking_active_fraction
brake_distance_0p08,0.0224067610568921,4.335213469123092,33.16246138277424,0.19498462049812382,0.28669932385410163
brake_distance_0p12,0.029249459218931798,4.3251207172000266,32.97097080284598,0.19515150423972646,0.45184089852614256
brake_distance_0p2,0.0461704366762547,4.2964409560067764,32.268127881164446,0.19575008061924506,0.5125488905086854
brake_distance_0p3,0.07026152407317927,4.2456443595413536,31.224387790752594,0.1970941389900214,0.9909972299168975
no_ik_velocity_or_braking,0.011795333747289975,4.337470085455043,34.14194635192149,0.19891314753840683,0.0
no_joint_braking,0.013138064977085924,4.343268354450115,33.210696938531655,0.19494544398914063,0.0
