profile,actual_position_rmse_m,actual_orientation_rmse_rad,actual_ddq_p99_rad_s2,actual_elbow_accel_p99_m_s2,actual_elbow_lateral_range_m,driver_limit_active_fraction,tail_actual_ee_p2p_m
current_deployment,0.019506407723953356,2.119981768619837,40.973740335513114,5.3081800081492485,0.1095547579032456,0.03921546388548157,0.002357995935848736
no_branch_regulation,0.020164503179137015,1.9317639862419786,50.285397265011866,6.676264542554454,0.16061163814604223,0.3331828090698425,0.004506407039506042
no_frame_error_bound,0.06925948233608123,1.6576405567377257,50.18310766934129,8.052837744403766,0.16312151394718746,0.5231695163753282,0.023351037076541317
no_kinetic_regularization,0.019731039669340363,2.095382436471585,42.36166758110801,5.463976867353258,0.12094152139749868,0.044723616003862335,0.0025234616228511928
orientation_budget_0p1,0.019648295384832443,2.1962793805188534,39.35653126097651,5.430458188159911,0.06903404997992456,0.047662167060671945,0.001731166882174307
orientation_budget_0p15,0.019564811146405174,2.1683197044671125,40.09116576648679,5.348109578568286,0.08429244276011016,0.03747487363006841,0.0019076445272990141
orientation_budget_0p2,0.019505875748621778,2.1428623731708005,40.53610807751028,5.324270328690626,0.09824322497624764,0.03605374565758597,0.0021993539163044284
orientation_budget_0p25,0.019506407723953356,2.119981768619837,40.973740335513114,5.3081800081492485,0.1095547579032456,0.03921546388548157,0.002357995935848736
orientation_budget_0p3,0.01961120648404015,2.100273243336006,41.404474862725415,5.320034762766375,0.11721772033902024,0.0375700999447315,0.00256324772323875
orientation_budget_0p4,0.0201447508696645,2.068547013669366,41.83364236060305,5.5597818280854465,0.12782374997078852,0.039189726487048014,0.0032515270369393
position_budget_0,0.019514062905560913,2.1215746066809333,43.49844854885841,5.350528055104156,0.10973242655089478,0.06284666697556737,0.002257109752723107
position_budget_0p01,0.025892515380300914,2.096128641052657,38.9448360759421,4.849188670321582,0.10995254599459862,0.0331127462836556,0.006119793014866914
position_budget_0p015,0.019702780979079765,2.119795269747913,40.58377386145886,5.287524058160884,0.10954641827960013,0.034856383708586326,0.002513320318290107
position_budget_0p02,0.019506407723953356,2.119981768619837,40.973740335513114,5.3081800081492485,0.1095547579032456,0.03921546388548157,0.002357995935848736
position_budget_0p025,0.01946439257989846,2.1200480610055776,41.457765264883065,5.327785662748498,0.1095701955888693,0.04113710808063704,0.0022983636174882644
position_budget_0p03,0.019457272177160433,2.120029284985185,41.726942759205336,5.359057111120775,0.10960566535530909,0.042955480020621516,0.0022653798971856713
strict_mainline,0.4661226599332663,0.4787601708058644,166.819830658736,24.23963836518649,0.08354375820793224,0.8986605856423823,0.12852545721190314
