profile,actual_position_rmse_m,actual_orientation_rmse_rad,command_dq_max_rad_s,driver_dq_max_rad_s,actual_dq_max_rad_s,actual_ddq_p99_rad_s2,actual_elbow_accel_p99_m_s2,command_driver_q_gap_rms_rad,driver_actual_q_gap_rms_rad
current_deployment,0.0637474823857168,0.29519526333437845,3.422396257519722,3.422395635247232,3.7686626928906133,35.686991748915325,7.679082960087982,2.0472822264534695e-09,0.03816391166301665
driver_only_velocity,0.06458416451207168,0.29538214654061673,8.981509832665324,3.85836404328545,3.7990298500316757,40.166528171022016,8.287448662382735,0.010980551101029657,0.038710420509393044
ik_only_velocity,0.06374748199120858,0.29519526482617603,3.422396257519722,3.422396257519722,3.7686627906640275,35.68699123617474,7.679083058353835,0.0,0.03816391124441843
no_velocity_limits,0.06142293442796994,0.29111410759026773,8.981648366898298,8.981648366898298,4.625040921846888,85.43516830701374,10.381666949850482,0.0,0.039778725276825674
