profile,actual_position_rmse_m,actual_orientation_rmse_rad,actual_ddq_p99_rad_s2,driver_actual_q_gap_rms_rad
actuator_gain_x0p7,0.06893271303381014,0.6047505600105527,40.906354369192776,0.05181641529287075
actuator_gain_x1p3,0.06052376512241205,0.5564790604782145,54.18712936871135,0.032367109573813925
command_delay_20ms,0.06799894928418786,0.5793253313827111,47.79005490334856,0.051917560202460925
command_delay_8ms,0.06542807886829022,0.5768935430934451,47.80297672977018,0.044450078888333674
current_deployment,0.0638010699464594,0.575350443422925,47.8176289211842,0.03993236749339678
driver_only_velocity,0.06602453777030995,0.573640607752508,50.3242539014921,0.041315804195760183
gravity_compensation,0.060789169166609126,0.5432466028031018,47.374563153852264,0.03492773120830344
state_delay_20ms,0.0637658086832188,0.5752972443626378,47.80400013494619,0.03992732696040404
state_delay_8ms,0.06378654289358551,0.5753327991679382,47.809642955448055,0.03993172363393478
