,PR default,PR w/o IK velocity limits,Mainline baseline,PR: full-home posture 0.01
Position RMSE [cm],3.9709511476377606,4.0112585874487205,13.784021528035307,3.9413521797209876
Orientation RMSE [deg],31.272890482975598,30.84444024760434,11.12954916472955,29.030400049891025
Joint acceleration p99 [rad/s²],29.42851976959505,31.911558955849127,57.49370940317993,33.41753003387514
Elbow acceleration p99 [m/s²],5.458148814929962,6.22179101858227,10.210525797079113,6.517740434020903
Elbow lateral range [cm],6.20506092783809,6.500217166196573,6.118532382637385,7.37628000941052
Tail EEF p2p [cm],0.8444551547819873,0.8883051235567395,3.3666771243918987,0.9119937450370963
