,chest_wrist_outward,extended_axis,extended_translation,extended_wrist,normal_workspace,normal_wrist,reach,retract
PR w/o position bound,0.007065487124456902,0.08865858809935157,0.011397652242623365,0.0,0.02760563114937581,0.0,-2.8542046837110036e-07,0.6829715612010384
PR w/o orientation bound,3.5611189630438327,1.2391597424381337e-06,2.2348359866401304e-06,0.5412985842534334,0.0,0.018174933461610292,-5.027432262161291e-07,4.377468009950092e-06
PR w/o posture regulation,6.147269242078923,0.2610534431982136,-0.028019748171526776,0.8885561503902201,-0.45721677492161295,-4.187051457395881,0.2416925747771846,1.2440719518825067
PR w/o singularity limit,-0.011779563445774485,0.05003358217926402,0.00014360835423309534,-0.01153100567800335,0.007989289025020099,0.02545602851638425,0.47781815870283334,0.010190767902505034
PR w/o braking,0.2962434261430325,0.2303320296999236,0.25496224495944025,2.7462079332217965e-07,0.0217122412131129,0.8252534253030902,0.017744006731683984,0.4469917924580166
PR w/o kinetic regularizer,1.2913278294430566,0.006677755388384641,0.0035295155878832993,0.02062088620867999,-0.03267337203007176,0.06421957749448749,-0.008502390077008079,-0.03089079720205833
PR w/o IK velocity limits,0.2990642006511779,0.2382217573609638,0.26732267582944974,0.008868338516656672,0.09129500803886122,1.4375536735281873,0.011017376500057768,0.425689436771625
