side,actual_position_rmse_m,actual_orientation_rmse_rad,actual_ddq_p99_rad_s2,actual_elbow_accel_p99_m_s2,actual_elbow_lateral_range_m
left,0.0068151304988966,0.2495297728741329,86.91663955796626,16.162865436124974,0.1242328395698162
right,0.0068205023249885,0.2495290950891181,86.91608131128088,16.16433506672567,0.1242313818302419
