,"Position
RMSE","Orientation
RMSE","Joint ddq
p99","Elbow
accel. p99","Elbow
lateral range","Driver velocity
cap occupancy"
PR,0.0,0.0,0.0,0.0,0.0,0.0
A,0.2901570267733296,0.6873847980297624,-1.9844001436211185,8.173638713912732,-3.647453965780928,-4.594475142596842
B,0.33392657553087757,0.568057319046609,-4.824218879972292,6.060369073583526,-3.8742295564414926,-4.653693784816403
C,0.6637679992804576,2.285608942228294,-7.063495029928718,5.146359947158762,-10.642898221961973,-5.749840476999087
D,0.32844662612425024,-0.12813902256890075,-4.370258211991554,5.411424665625727,-0.5987982242023415,-4.470884086075676
