,chest_wrist_outward,extended_axis,extended_translation,extended_wrist,normal_workspace,normal_wrist,reach,retract
PR w/o position bound,2.0454192994908778,3.235657742606882,0.18159996118132918,0.0,-0.06100894928881319,0.0,2.3120512759078336e-05,7.054187388081292
PR w/o orientation bound,15.360376239302102,-0.00018890677912103415,1.4343804452643383e-05,0.26858649062877343,0.0,-0.15737885729456025,3.5014355859175337e-10,2.4218908495280782e-05
PR w/o posture regulation,10.714220397260288,2.85745148173679,4.081757387651058,0.9844680537958693,2.0996257092780723,2.868476029804866,-0.2389125158019077,2.910624783702193
PR w/o singularity limit,6.8188155267199,7.863509292705417,-0.32995391404411506,-0.051680793839620286,0.02281597137887711,0.011932534013925947,7.835431949663352,-0.9749496795936713
PR w/o braking,4.312493360630743,-2.4622631976701848,0.5354297116661012,0.0,-0.6249027695151055,0.5124899623606437,0.0008412280898959068,0.03298428626997215
PR w/o kinetic regularizer,1.6734163892760934,1.7832657767855986,0.9469732055363419,0.15580346452913751,-0.07726543723620782,0.07246129645591133,-0.025383919673778798,-0.43447757736385545
PR w/o IK velocity limits,5.389207581158369,-1.9780263763189712,0.14732562813629743,-0.8826752037177684,-1.0543697773178902,-1.8068085667427736,17.01094597108356,1.087899998014348
