profile,actual_position_rmse_m,actual_orientation_rmse_rad,actual_ddq_p99_rad_s2,actual_elbow_accel_p99_m_s2,actual_elbow_lateral_range_m,driver_limit_active_fraction
current_deployment,0.03970951147637761,0.5458149055435239,29.42851976959505,5.458148814929962,0.0620506092783809,0.059980527884353665
ori0p15_null12_sing0p18_brake0p12_energy5em5,0.0399730905062284,0.5582900998326416,27.349837738288112,5.739044799397838,0.05544662608677553,0.056531743213741374
ori0p20_null10_sing0p18_brake0p12_energy3em5,0.039842112088210715,0.5489154470629112,28.008823562773866,5.788932777700143,0.05964662623376584,0.05718921778609943
ori0p20_sing0p18,0.03982473141422368,0.5495667542296105,28.844540181021635,5.9042781795300465,0.05978734186946537,0.05722473744030867
ori0p25_null10_sing0p18_brake0p12_energy3em5,0.03983993602707219,0.545115503658525,28.142417467696763,5.7535124261876405,0.06167905133191522,0.057298868008427914
